mode_rank,eigen_index,omega_sq,omega,Omega_FEM,Omega_exact,matched_m,matched_n,MAC,relative_residual,residual_ok
1.0,1.0,3.5971763518164724e7,5997.646498266193,19.819476724130705,19.739208802178716,1.0,1.0,0.9908498042009561,3.0160382897662503e-5,0.0
2.0,2.0,2.0524601906000426e8,14326.409845456896,47.34222774791282,49.34802200544679,2.0,1.0,0.49360282413692175,5.770755546334932e-6,0.0
3.0,3.0,2.1663794797429556e8,14718.625886076987,48.63832225600825,49.34802200544679,1.0,2.0,0.4915045460892626,4.2618790859509275e-6,0.0
4.0,4.0,4.9199957969668984e8,22181.063538448507,73.29826335110438,78.95683520871486,2.0,2.0,0.956321161729899,1.932121230745718e-6,0.0
5.0,5.0,7.640429924184918e8,27641.32761678592,91.34193712205764,98.69604401089359,3.0,1.0,0.49112253976574316,1.416725280318242e-6,0.0
6.0,6.0,7.693605154559723e8,27737.348745977368,91.65924300788883,98.69604401089359,1.0,3.0,0.48822734404129875,1.4458133321979964e-6,0.0
7.0,7.0,1.1443526055025775e9,33828.281149100345,111.78698695325923,128.30485721416164,2.0,3.0,0.47807027816294867,1.149074019867059e-6,0.0
8.0,8.0,1.2239271629195092e9,34984.6703988977,115.60832417728855,128.30485721416164,3.0,2.0,0.47137231159666465,9.40231012964859e-7,1.0
9.0,9.0,1.966516595022742e9,44345.42360856126,146.54132938406266,167.7832748185191,4.0,1.0,0.4897370585988271,6.018291654066112e-7,1.0
10.0,10.0,1.972852975567031e9,44416.809605902934,146.77722743393124,167.7832748185191,1.0,4.0,0.48960469335043183,5.462262710658502e-7,1.0
11.0,11.0,2.0354628094317775e9,45116.10365968871,149.08807423464498,177.65287921960845,3.0,3.0,0.8824830439772396,6.684778461946247e-7,1.0
12.0,12.0,2.5134679536954765e9,50134.49863811821,165.671572861353,197.39208802178717,4.0,2.0,0.47019312276193925,4.320131301100827e-7,1.0
13.0,13.0,2.551708193687079e9,50514.435498054205,166.92709029712015,197.39208802178717,2.0,4.0,0.4509102915252878,4.952912341625544e-7,1.0
14.0,14.0,3.4441925532524633e9,58687.24353087699,193.93448038323896,246.74011002723395,3.0,4.0,0.4555558896564776,6.366424458496e-7,1.0
15.0,15.0,3.6953851969763803e9,60789.680020348686,200.8820707554113,246.74011002723395,4.0,3.0,0.4397529084406845,5.685119039958028e-7,1.0
16.0,16.0,4.07170201348717e9,63809.889621336675,210.8624812224306,256.6097144283233,1.0,5.0,0.48878201177998565,5.998361488519851e-7,1.0
17.0,17.0,4.077034430784516e9,63851.65957737133,211.00051181020132,256.6097144283233,5.0,1.0,0.4891524747670388,3.4002178017056157e-7,1.0
18.0,18.0,4.739422707463135e9,68843.46524880291,227.49614494645272,286.21852763159137,2.0,5.0,0.46419944430739574,2.7959452564733205e-7,1.0
19.0,19.0,4.771274410730599e9,69074.41212728921,228.259318682016,286.21852763159137,5.0,2.0,0.46132437134377485,2.5765188189174054e-7,1.0
20.0,20.0,5.209332539351491e9,72175.70601907189,238.50767562013235,315.82734083485946,4.0,4.0,0.7730405675090388,3.2176184941418834e-7,1.0
21.0,21.0,5.942297364682523e9,77086.29816434644,254.7349352215615,335.5665496370382,3.0,5.0,0.44099305151351853,3.015319764706172e-7,1.0
22.0,22.0,6.076022180190961e9,77948.84335377248,257.5852523101532,335.5665496370382,5.0,3.0,0.3901973139475155,1.1768840564352308e-6,0.0
23.0,23.0,7.312100358717707e9,85510.82012656472,282.5741246420085,365.17536284030626,6.0,1.0,0.4786047449751484,1.742886131777593e-7,1.0
24.0,24.0,7.318738877517338e9,85549.62815534232,282.70236741578475,365.17536284030626,1.0,6.0,0.4863721336717716,1.1653708661654589e-6,0.0
25.0,25.0,7.570075346124817e9,87006.17993065101,287.5156044107572,404.65378044466365,4.0,5.0,0.4213712384058938,3.4122139575817666e-7,1.0
26.0,26.0,8.080874914994613e9,89893.68673602509,297.0574928725771,394.78417604357435,2.0,6.0,0.4601453220674125,1.5814468040013322e-7,1.0
27.0,27.0,8.106101423354194e9,90033.89041552183,297.52080186606753,394.78417604357435,6.0,2.0,0.4623155441569692,4.510038826141474e-7,1.0
28.0,28.0,8.118855406976533e9,90104.69137051929,297.75476661874575,404.65378044466365,4.0,5.0,0.39379563159991443,1.6950357053169172e-7,1.0
29.0,29.0,9.44029202955e9,97161.16523359525,321.0731831883285,444.1321980490211,3.0,6.0,0.42713331063389454,1.8317136085222584e-7,1.0
30.0,30.0,9.530323104752277e9,97623.37376239503,322.6005708362818,444.1321980490211,6.0,3.0,0.41584862787306387,1.6280454277506708e-7,1.0
31.0,31.0,1.0391033776770185e10,101936.4202666063,336.85321557368337,493.4802200544679,5.0,5.0,0.6587650681280559,2.006374635597569e-7,1.0
32.0,32.0,1.1456150712156439e10,107033.40932697809,353.69643167092926,513.2194288566466,4.0,6.0,0.4015469240515745,1.6928223141674202e-7,1.0
33.0,33.0,1.175615358129095e10,108425.7975819913,358.29763759714797,513.2194288566466,4.0,6.0,0.2848769808571834,1.1584768975975711e-7,1.0
34.0,34.0,1.1933395777628773e10,109240.08320039294,360.9884788905405,493.4802200544679,7.0,1.0,0.4797433553496477,1.2779718966026595e-7,1.0
35.0,35.0,1.1962878752198803e10,109374.94572432392,361.4341378093814,493.4802200544679,1.0,7.0,0.42027352652974165,9.765746726836488e-8,1.0
36.0,36.0,1.2762557829537006e10,112971.49122472008,373.3190746513552,523.089033257736,2.0,7.0,0.45399855350800894,9.609098643404215e-8,1.0
