mode_rank,eigen_index,omega_sq,omega,Omega_FEM,Omega_exact,matched_m,matched_n,MAC,relative_residual,residual_ok
1.0,1.0,5.124071789572078e6,2263.6412678629267,74.80298385901935,19.739208802178716,1.0,1.0,0.9460121080054374,0.0021094309633198187,0.0
2.0,2.0,2.390709072615785e7,4889.487777483226,161.57519324749197,49.34802200544679,1.0,2.0,0.4702297657446305,0.0004940200478596032,0.0
3.0,3.0,3.7057606219994925e7,6087.495890757949,201.16387844798192,49.34802200544679,2.0,1.0,0.4612062167072723,0.0007427755626501886,0.0
4.0,4.0,6.6593507617094e7,8160.4845209763125,269.6666651958796,78.95683520871486,2.0,2.0,0.6408207783724518,0.00018193724697009153,0.0
5.0,5.0,1.1534461532488847e8,10739.861047745844,354.9032543310616,98.69604401089359,3.0,1.0,0.4543153940064961,0.00018282207742222102,0.0
6.0,6.0,1.3902792791717407e8,11791.010470573507,389.6389319428361,98.69604401089359,1.0,3.0,0.3714029403021273,9.717537255641095e-5,0.0
7.0,7.0,1.5190591524346775e8,12325.011774577246,407.2852310676963,128.30485721416164,3.0,2.0,0.41035617883794606,0.00010106802260485439,0.0
8.0,8.0,2.379949560576025e8,15427.085144563198,509.7945586360273,128.30485721416164,2.0,3.0,0.2901446559367848,4.690779675728757e-5,0.0
9.0,9.0,3.022143563228527e8,17384.313513131678,574.4719985382709,177.65287921960845,3.0,3.0,0.47285472168703113,4.469276480314097e-5,0.0
10.0,10.0,3.533522881557794e8,18797.667093439533,621.1768658491003,167.7832748185191,1.0,4.0,0.43480886020981396,0.00014729664091979528,0.0
11.0,11.0,3.8748431744375765e8,19684.621343672265,650.4866444813324,167.7832748185191,4.0,1.0,0.3782563336073307,3.21609724416881e-5,0.0
12.0,12.0,4.6120290488088137e8,21475.635144993532,709.671453652972,197.39208802178717,4.0,2.0,0.35829411542180234,0.00011636681186185823,0.0
13.0,13.0,5.483040134369829e8,23415.8923263023,773.7880734885911,246.74011002723395,3.0,4.0,0.3448910378739912,2.4172389145084166e-5,0.0
14.0,14.0,5.983008604450057e8,24460.189296998615,808.2973089191538,177.65287921960845,3.0,3.0,0.22181349500559244,2.296399301078094e-5,0.0
15.0,15.0,8.043369322382721e8,28360.834477114247,937.195779975664,286.21852763159137,5.0,2.0,0.20464493014870408,1.2342345780891626e-5,0.0
16.0,16.0,8.732701417292813e8,29551.14450794218,976.5300787832267,256.6097144283233,5.0,1.0,0.4385038986808872,2.1324178158584505e-5,0.0
17.0,17.0,8.867696004861996e8,29778.67694317865,984.0489844163907,256.6097144283233,1.0,5.0,0.2193178275595873,2.2565574417749316e-5,0.0
18.0,18.0,9.469101558096952e8,30771.90530028479,1016.8706358943535,315.82734083485946,4.0,4.0,0.26055352647487406,1.4949654414860931e-5,0.0
19.0,19.0,1.0654726765725789e9,32641.578953423483,1078.6547931647344,286.21852763159137,5.0,2.0,0.306891018235963,1.191293543142548e-5,0.0
20.0,20.0,1.2689763945768125e9,35622.69493703154,1177.1670327009158,286.21852763159137,2.0,5.0,0.1893877338005463,9.342067673941512e-6,0.0
21.0,21.0,1.3272600653003895e9,36431.58060392644,1203.8970019515893,335.5665496370382,3.0,5.0,0.2607075858307761,8.623986190520072e-6,0.0
22.0,22.0,1.4789535763822377e9,38457.16547513919,1270.8333114179072,404.65378044466365,5.0,4.0,0.2815778174474546,1.13617476371034e-5,0.0
23.0,23.0,1.6863271385753064e9,41064.91371688618,1357.0074558838041,394.78417604357435,2.0,6.0,0.17678596560047483,8.455983727043527e-6,0.0
24.0,24.0,1.881345779405179e9,43374.48304481771,1433.3281519283905,365.17536284030626,1.0,6.0,0.4376580591832626,7.076931920202847e-6,0.0
25.0,25.0,1.8851396264166076e9,43418.19464713621,1434.7726203294148,365.17536284030626,6.0,1.0,0.37196440799321795,6.722657134878194e-6,0.0
26.0,26.0,2.0989157901648793e9,45813.92572313444,1513.94056780973,444.1321980490211,3.0,6.0,0.18108884470196937,6.0126897452532565e-6,0.0
27.0,27.0,2.186860817407998e9,46763.883686109715,1545.3323307979854,394.78417604357435,2.0,6.0,0.3107539700793097,5.433808994430812e-6,0.0
28.0,28.0,2.2420752106778293e9,47350.55660367499,1564.7191856880227,513.2194288566466,6.0,4.0,0.2290291694332936,5.571932267105723e-6,0.0
29.0,29.0,2.443713210066741e9,49433.92772243311,1633.5650661644552,394.78417604357435,6.0,2.0,0.1819199929421495,4.317611496800862e-6,0.0
30.0,30.0,2.6150370084911337e9,51137.43255670091,1689.858104478692,444.1321980490211,6.0,3.0,0.19105411742440215,5.002420400564378e-6,0.0
31.0,31.0,3.119742849691798e9,55854.65826313682,1845.740824672696,513.2194288566466,4.0,6.0,0.18022932245602555,3.7231025218580098e-6,0.0
32.0,32.0,3.1747910067556534e9,56345.28380224607,1861.9537532863626,523.089033257736,2.0,7.0,0.1401477075153015,3.8864465054720966e-6,0.0
33.0,33.0,3.3566674426755605e9,57936.75381548021,1914.5445535170268,602.0458684664509,6.0,5.0,0.22343159032359886,5.9199442578384955e-6,0.0
34.0,34.0,3.624438850272499e9,60203.312618762924,1989.4439485689384,493.4802200544679,7.0,1.0,0.3291855500796049,3.755888570047127e-6,0.0
35.0,35.0,3.6851405176907496e9,60705.358228831414,2006.0342582613832,493.4802200544679,1.0,7.0,0.43674504162883127,3.969107334466929e-6,0.0
36.0,36.0,3.927868160699395e9,62672.706664858466,2071.0461200764553,710.6115168784338,6.0,6.0,0.16506422674672847,3.914624544668251e-6,0.0
37.0,37.0,4.123916960814281e9,64217.73089119765,2122.10209961943,523.089033257736,7.0,2.0,0.31604849798686746,3.1283176099465064e-6,0.0
38.0,38.0,4.22604176450975e9,65008.01307923316,2148.2173090366455,523.089033257736,2.0,7.0,0.19657328510642186,3.2032279531455895e-6,0.0
39.0,39.0,4.643244611439764e9,68141.35756968572,2251.7600040173515,641.5242860708082,4.0,7.0,0.13251816730249052,2.3397641084238327e-6,0.0
40.0,40.0,4.790629106034838e9,69214.37066126397,2287.218175817524,572.4370552631827,7.0,3.0,0.1964119177476861,1.4848766010420563e-5,0.0
41.0,41.0,4.815114380969838e9,69391.02521918694,2293.0558004590866,730.3507256806125,7.0,5.0,0.22118666473113688,1.597062956228309e-5,0.0
42.0,42.0,5.480879169368629e9,74032.96002030872,2446.4505008175706,513.2194288566466,4.0,6.0,0.10925212723689294,2.1346251308143393e-6,0.0
43.0,43.0,5.537387678093401e9,74413.62562120866,2459.0297567288594,838.9163740925954,7.0,6.0,0.13275589861633613,2.4760086909721254e-6,0.0
44.0,44.0,6.426941182207172e9,80168.20555686133,2649.1922865224847,789.5683520871487,4.0,8.0,0.1508713935024302,2.3725279332674936e-6,0.0
45.0,45.0,6.496403035867829e9,80600.26697144266,2663.469938851886,641.5242860708082,1.0,8.0,0.22306558417260064,2.1756721412052922e-6,0.0
46.0,46.0,6.720732079460136e9,81980.07123356345,2709.0661547423438,641.5242860708082,8.0,1.0,0.4375851748436938,2.0850275205769813e-6,0.0
47.0,47.0,6.788099920301385e9,82389.9260850584,2722.6099817948793,838.9163740925954,6.0,7.0,0.17769490064304042,3.458611616987558e-6,0.0
48.0,48.0,6.931763469200607e9,83257.21271577981,2751.269835615377,641.5242860708082,8.0,1.0,0.19991040831249746,1.6874523450024341e-6,0.0
49.0,49.0,7.216645705908865e9,84950.84287933148,2807.236561256012,671.1330992740764,2.0,8.0,0.22326408949098392,1.8807943979127565e-6,0.0
50.0,50.0,7.319936758695516e9,85556.62895822576,2827.2550186524563,671.1330992740764,8.0,2.0,0.31549775713024986,2.098438814326049e-6,0.0
51.0,51.0,7.948804119845724e9,89156.06608552064,2946.1999421070404,967.2212313067571,7.0,7.0,0.18921384099191976,2.565631004219909e-6,0.0
52.0,52.0,8.234718615835309e9,90745.35038135733,2998.7185143811275,720.4811212795231,3.0,8.0,0.20768388769599036,1.5448122625825537e-6,0.0
53.0,53.0,8.553592397476108e9,92485.63346529074,3056.2269055231986,878.3947916969529,8.0,5.0,0.1374999872860074,1.5864853022899464e-6,0.0
54.0,54.0,9.220383508356016e9,96022.82805851959,3173.11499809332,957.3516269056677,4.0,9.0,0.0955529228242776,2.021023695842357e-6,0.0
55.0,55.0,9.318117821653152e9,96530.3984331006,3189.887875967624,986.9604401089358,8.0,6.0,0.19876228268112067,1.7911358617725996e-6,0.0
56.0,56.0,9.39724102482568e9,96939.36777607785,3203.4024410163706,789.5683520871487,8.0,4.0,0.11759854573409541,1.8664409605759354e-6,0.0
57.0,57.0,1.0561329201405924e10,102768.32781263848,3396.022892728385,1115.2652973230975,7.0,8.0,0.1525503674422609,2.304710215486693e-6,0.0
